@relation hmpdd_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute HU_10 numeric
@attribute HU_11 numeric
@attribute HU_12 numeric
@attribute HU_13 numeric
@attribute HU_14 numeric
@attribute HU_15 numeric
@attribute HU_16 numeric
@attribute HU_17 numeric
@attribute HU_18 numeric
@attribute HU_19 numeric
@attribute HU_20 numeric
@attribute HU_21 numeric
@attribute HU_22 numeric
@attribute HU_23 numeric
@attribute HU_24 numeric
@attribute HU_25 numeric
@attribute HU_26 numeric
@attribute HU_27 numeric
@attribute HU_28 numeric
@attribute HU_29 numeric
@attribute HU_30 numeric
@attribute HU_31 numeric
@attribute HU_32 numeric
@attribute HU_33 numeric
@attribute HU_34 numeric
@attribute HU_35 numeric
@attribute HU_36 numeric
@attribute HU_37 numeric
@attribute HU_38 numeric
@attribute HU_39 numeric
@attribute HU_40 numeric
@attribute HU_41 numeric
@attribute HU_42 numeric
@attribute HU_43 numeric
@attribute HU_44 numeric
@attribute HU_45 numeric
@attribute HU_46 numeric
@attribute HU_47 numeric
@attribute HU_48 numeric
@attribute HU_49 numeric
@attribute HU_50 numeric
@attribute Class {Deceptive,Truthful}

@data
-0.1868,-0.0548,0.0956,0.0423,0.1711,0.0381,0.1497,-0.1867,-0.2255,-0.2675,0.0276,0.2701,0.0756,-0.2283,-0.3120,0.2986,0.0832,-0.0799,0.1059,0.2734,0.3376,-0.0701,0.3799,0.2223,-0.0980,-0.0911,-0.1951,-0.5347,0.1652,0.1240,-0.1480,-0.0075,0.2702,-0.0812,0.0538,-0.1048,-0.0708,-0.1688,0.0913,0.0032,-0.0695,0.3367,-0.0757,0.1105,0.0307,-0.0388,0.4270,-0.0670,-0.0373,-0.3138,Deceptive
-0.0657,-0.0370,0.0237,0.1360,0.0462,0.0231,0.1175,-0.2122,-0.1624,-0.2881,0.0231,0.2124,0.0441,-0.1992,-0.2700,0.2398,0.0876,-0.0813,0.1052,0.3015,0.3395,-0.1456,0.3226,0.2204,-0.0912,-0.1795,-0.1744,-0.4541,0.1985,0.1163,-0.2003,-0.0262,0.2074,0.0263,0.1902,-0.0857,-0.1484,-0.1531,0.0685,-0.0571,-0.0402,0.3450,-0.0334,0.0842,0.0954,-0.0074,0.4117,-0.0385,-0.0578,-0.2768,Deceptive
-0.0135,-0.0330,-0.0563,0.1497,-0.1227,0.0218,0.2033,-0.2751,0.0332,-0.3788,0.0138,0.0059,0.0582,-0.1247,-0.2502,0.0639,0.1310,-0.0071,0.0546,0.3082,0.2994,-0.1639,0.0932,0.1797,-0.1381,-0.1788,-0.1678,-0.1483,0.2578,0.1108,-0.1267,-0.0528,0.1076,0.0604,0.1490,-0.0285,-0.1387,-0.0059,-0.0030,-0.2118,0.0776,0.3069,0.1259,0.0191,0.0198,-0.0684,0.3427,0.0595,0.0230,-0.1402,Deceptive
0.1467,0.0035,-0.2421,0.1605,-0.3891,0.0900,0.3775,-0.3550,0.2859,-0.5001,0.0005,-0.2458,0.0353,-0.0008,-0.1856,-0.1569,0.1825,0.1029,-0.0303,0.2920,0.1728,-0.1923,-0.3327,0.1491,-0.2464,-0.1863,-0.1412,0.3102,0.4150,0.0626,-0.0476,-0.0423,-0.1546,0.2523,0.1139,0.1117,-0.1073,0.2354,-0.1381,-0.4065,0.2847,0.1901,0.4479,-0.0718,-0.1811,-0.1480,0.0852,0.2607,0.1357,0.1487,Deceptive
-0.1905,-0.0417,0.0787,0.0924,0.1560,0.0036,0.0708,-0.1833,-0.2174,-0.2493,0.0246,0.2977,0.0637,-0.2092,-0.2745,0.2955,0.0764,-0.0593,0.1011,0.2797,0.3609,-0.1054,0.3910,0.2361,-0.0882,-0.1283,-0.1868,-0.5268,0.1624,0.1315,-0.1697,-0.0021,0.2704,-0.0541,0.1499,-0.1068,-0.1042,-0.1623,0.1014,0.0236,-0.0703,0.3455,-0.0757,0.1166,0.0973,-0.0005,0.4286,-0.0835,-0.0628,-0.3149,Deceptive
-0.2516,-0.0383,0.1071,0.0668,0.2602,0.0009,-0.0027,-0.1543,-0.3116,-0.2118,0.0365,0.4005,0.0705,-0.2345,-0.2858,0.3672,0.0463,-0.0724,0.1120,0.2750,0.3831,-0.0657,0.4962,0.2627,-0.0783,-0.1151,-0.1935,-0.5710,0.1117,0.1443,-0.1899,0.0201,0.3172,-0.1007,0.1504,-0.1457,-0.0984,-0.1928,0.1399,0.1037,-0.1008,0.3574,-0.1314,0.1569,0.1735,0.0387,0.4522,-0.1224,-0.0827,-0.3716,Deceptive
-0.1576,-0.0511,0.0846,0.0687,0.1425,0.0303,0.1414,-0.1894,-0.1971,-0.2737,0.0216,0.2360,0.0770,-0.2144,-0.3015,0.2749,0.0853,-0.0775,0.0990,0.2773,0.3354,-0.0963,0.3397,0.2156,-0.1026,-0.1002,-0.1924,-0.5121,0.1887,0.1194,-0.1296,-0.0143,0.2587,-0.0539,0.0605,-0.0836,-0.0988,-0.1521,0.0877,-0.0224,-0.0573,0.3336,-0.0682,0.1037,0.0387,-0.0532,0.4225,-0.0487,-0.0354,-0.2986,Deceptive
-0.1968,-0.0464,0.0749,0.0883,0.1670,0.0064,0.0499,-0.1883,-0.2268,-0.2408,0.0306,0.3298,0.0628,-0.2188,-0.2782,0.2918,0.0685,-0.0639,0.1002,0.2800,0.3652,-0.1079,0.4173,0.2463,-0.0791,-0.1321,-0.1881,-0.5377,0.1462,0.1312,-0.1808,0.0005,0.2734,-0.0655,0.1438,-0.1245,-0.1136,-0.1671,0.1049,0.0377,-0.0752,0.3542,-0.0906,0.1226,0.1231,0.0161,0.4352,-0.0965,-0.0620,-0.3262,Deceptive
0.0646,-0.0135,-0.1525,0.1536,-0.2952,0.0504,0.3333,-0.3077,0.2242,-0.4706,0.0114,-0.1902,0.0463,-0.0446,-0.2356,-0.0880,0.1421,0.0607,0.0008,0.2957,0.2051,-0.1375,-0.1776,0.1416,-0.1876,-0.1719,-0.1307,0.2390,0.3398,0.0829,-0.0698,-0.0333,-0.0679,0.1204,0.0655,0.0575,-0.0587,0.1809,-0.0859,-0.3422,0.1905,0.2371,0.3314,-0.0497,-0.1511,-0.1352,0.1637,0.1906,0.1020,0.0772,Deceptive
-0.0572,-0.0194,-0.0536,0.3376,-0.0843,0.0012,0.0008,-0.2305,-0.1538,-0.3021,0.0308,0.2636,0.0535,-0.1632,-0.2076,0.1851,0.0406,-0.0744,0.1154,0.3231,0.3438,-0.1310,0.3519,0.2431,-0.0572,-0.2580,-0.1219,-0.3885,0.1428,0.1863,-0.2861,-0.0512,0.1949,0.0109,0.4068,-0.1114,-0.1962,-0.0859,0.0728,-0.1240,0.0185,0.3554,0.0068,0.1266,0.1667,0.0763,0.3910,-0.0531,-0.0519,-0.2215,Deceptive
0.0701,-0.0077,-0.2020,0.1502,-0.3376,0.0448,0.3068,-0.3438,0.2455,-0.4843,0.0043,-0.1861,0.0431,-0.0263,-0.2280,-0.1146,0.1649,0.1005,-0.0040,0.3176,0.2350,-0.1732,-0.2140,0.1623,-0.2194,-0.1934,-0.1402,0.2613,0.3539,0.0826,-0.0757,-0.0371,-0.0919,0.1570,0.1149,0.0616,-0.0839,0.1928,-0.0995,-0.3607,0.2256,0.2595,0.3616,-0.0648,-0.1079,-0.1168,0.1734,0.1990,0.1076,0.0812,Deceptive
-0.2225,-0.0356,0.1021,0.1192,0.2312,0.0103,0.0074,-0.1568,-0.3195,-0.2199,0.0408,0.3914,0.0709,-0.2416,-0.2754,0.3672,0.0488,-0.1018,0.1212,0.2784,0.3775,-0.0556,0.4912,0.2612,-0.0641,-0.1315,-0.1942,-0.5687,0.1146,0.1573,-0.2103,0.0071,0.3038,-0.0882,0.1905,-0.1429,-0.1075,-0.2000,0.1326,0.0689,-0.0865,0.3567,-0.1117,0.1642,0.1638,0.0477,0.4477,-0.1211,-0.0845,-0.3564,Truthful
-0.1052,-0.0415,0.0289,0.0499,0.0399,0.0237,0.1959,-0.2147,-0.0774,-0.3004,0.0076,0.1240,0.0459,-0.1669,-0.2754,0.2069,0.1263,-0.0379,0.0953,0.2843,0.3313,-0.1622,0.2362,0.1990,-0.1051,-0.1486,-0.1858,-0.3911,0.2416,0.0916,-0.1327,-0.0108,0.1851,0.0310,0.0977,-0.0519,-0.1082,-0.1406,0.0600,-0.0588,-0.0261,0.3176,0.0093,0.0444,0.0393,-0.0707,0.3943,-0.0143,-0.0433,-0.2466,Truthful
0.1351,-0.0101,-0.2200,0.1279,-0.3831,0.1045,0.4717,-0.3514,0.3112,-0.5270,0.0016,-0.2840,0.0466,0.0118,-0.2050,-0.1750,0.1917,0.1034,-0.0522,0.2605,0.1207,-0.1411,-0.3596,0.1134,-0.2537,-0.1286,-0.1200,0.3376,0.4466,0.0534,-0.0018,-0.0490,-0.1735,0.2270,0.0426,0.1341,-0.0586,0.2883,-0.1512,-0.4254,0.2784,0.1464,0.4738,-0.0995,-0.2891,-0.2281,0.0367,0.3032,0.1743,0.1917,Truthful
-0.2133,-0.0482,0.0891,0.0330,0.1850,0.0151,0.1000,-0.1820,-0.2124,-0.2472,0.0230,0.2954,0.0629,-0.2166,-0.2983,0.3103,0.0857,-0.0454,0.1129,0.2761,0.3672,-0.1016,0.3932,0.2446,-0.0939,-0.1016,-0.1949,-0.5356,0.1733,0.1160,-0.1523,0.0193,0.2705,-0.0735,0.0932,-0.0968,-0.0808,-0.1795,0.1053,0.0559,-0.0820,0.3509,-0.0770,0.1091,0.0714,-0.0221,0.4289,-0.0819,-0.0595,-0.3199,Truthful
-0.2038,-0.0241,0.0822,0.2054,0.2582,-0.0050,-0.0587,-0.1384,-0.3960,-0.1885,0.0464,0.4929,0.0613,-0.2541,-0.2413,0.4266,-0.0015,-0.1737,0.1331,0.2997,0.4060,-0.0656,0.5524,0.2768,-0.0260,-0.1956,-0.1782,-0.5771,0.0763,0.2044,-0.3033,0.0100,0.3317,-0.0747,0.3731,-0.1880,-0.1321,-0.2213,0.1750,0.0870,-0.1114,0.3881,-0.1658,0.2079,0.2805,0.1423,0.4633,-0.1525,-0.1443,-0.3898,Truthful
-0.1916,-0.0483,0.0858,0.0351,0.1675,0.0240,0.1334,-0.1899,-0.1989,-0.2553,0.0246,0.2621,0.0664,-0.2164,-0.3046,0.2813,0.0998,-0.0572,0.1071,0.2733,0.3507,-0.1063,0.3573,0.2312,-0.0982,-0.0962,-0.2039,-0.5208,0.1903,0.0971,-0.1385,0.0080,0.2578,-0.0502,0.0566,-0.0904,-0.0765,-0.1653,0.0933,0.0146,-0.0763,0.3361,-0.0653,0.0974,0.0439,-0.0375,0.4215,-0.0664,-0.0585,-0.3012,Truthful
-0.1775,-0.0248,0.0690,0.1651,0.2178,-0.0148,-0.0630,-0.1659,-0.3284,-0.2057,0.0267,0.4269,0.0475,-0.2313,-0.2201,0.3829,0.0422,-0.1066,0.1210,0.2970,0.4099,-0.1248,0.5158,0.2649,-0.0440,-0.2058,-0.1757,-0.5616,0.1059,0.1737,-0.2571,-0.0068,0.2994,-0.0414,0.3314,-0.1650,-0.1716,-0.2326,0.1483,0.0971,-0.1032,0.3815,-0.1448,0.1673,0.2687,0.1057,0.4608,-0.1390,-0.1275,-0.3827,Truthful
-0.0473,-0.0623,0.0235,0.0549,-0.0372,0.0421,0.3121,-0.2402,-0.0081,-0.3603,0.0190,0.0276,0.0632,-0.1620,-0.2935,0.1223,0.1394,-0.0383,0.0651,0.2768,0.2839,-0.1272,0.0853,0.1525,-0.1361,-0.1002,-0.1802,-0.2353,0.2781,0.0874,-0.0902,-0.0264,0.1412,0.0077,0.0226,-0.0205,-0.0807,-0.0399,0.0067,-0.1621,0.0187,0.2926,0.0743,0.0242,-0.0908,-0.1335,0.3489,0.0591,0.0164,-0.1739,Truthful
-0.0346,-0.0269,-0.0879,0.1572,-0.1646,0.0178,0.1981,-0.2761,0.0742,-0.3864,0.0187,0.0130,0.0478,-0.1040,-0.2522,0.0378,0.1062,0.0257,0.0565,0.3110,0.2808,-0.1468,0.0706,0.1967,-0.1400,-0.1859,-0.1409,-0.0531,0.2483,0.1106,-0.1522,-0.0276,0.0760,0.0476,0.1652,-0.0247,-0.0924,0.0437,-0.0148,-0.2131,0.0849,0.3138,0.1605,0.0151,-0.0060,-0.0462,0.3011,0.0642,0.0284,-0.0868,Truthful
0.0342,-0.0237,-0.1812,0.1212,-0.3053,0.0490,0.3496,-0.3385,0.2492,-0.4832,0.0112,-0.1977,0.0460,-0.0309,-0.2574,-0.1167,0.1693,0.1073,-0.0050,0.3058,0.2161,-0.1579,-0.2099,0.1753,-0.2142,-0.1573,-0.1469,0.2460,0.3609,0.0751,-0.0552,-0.0265,-0.0732,0.1263,0.0491,0.0654,-0.0765,0.2045,-0.0986,-0.3451,0.2213,0.2537,0.3527,-0.0597,-0.1375,-0.1312,0.1744,0.2066,0.1247,0.0839,Truthful
-0.1941,-0.0533,0.0982,0.0440,0.1833,0.0335,0.1392,-0.1819,-0.2366,-0.2560,0.0289,0.2927,0.0748,-0.2310,-0.3168,0.3019,0.0793,-0.0835,0.1051,0.2773,0.3449,-0.0792,0.3966,0.2224,-0.0975,-0.0905,-0.2038,-0.5442,0.1715,0.1177,-0.1508,0.0068,0.2758,-0.0812,0.0401,-0.1069,-0.0646,-0.1706,0.0970,0.0064,-0.0801,0.3381,-0.0826,0.1167,0.0347,-0.0374,0.4286,-0.0732,-0.0475,-0.3165,Truthful
-0.0853,-0.0473,0.0653,0.1874,0.0928,0.0231,0.0844,-0.1875,-0.2375,-0.2722,0.0296,0.2754,0.0527,-0.2241,-0.2587,0.2907,0.0711,-0.1148,0.1112,0.2857,0.3558,-0.0825,0.4003,0.2061,-0.0570,-0.1670,-0.1668,-0.5216,0.1527,0.1604,-0.2226,-0.0435,0.2403,-0.0378,0.2142,-0.1306,-0.1468,-0.1821,0.0861,-0.0332,-0.0534,0.3461,-0.0767,0.1331,0.1065,0.0112,0.4282,-0.0652,-0.0529,-0.3117,Truthful
-0.1130,-0.0518,0.0427,0.0150,0.0592,0.0275,0.1987,-0.2270,-0.0987,-0.2925,0.0098,0.1627,0.0497,-0.1845,-0.2786,0.2086,0.1397,-0.0361,0.0802,0.2795,0.3413,-0.1733,0.2264,0.1999,-0.1082,-0.1138,-0.2034,-0.4125,0.2414,0.0831,-0.1115,-0.0106,0.1830,0.0160,0.0751,-0.0546,-0.0962,-0.1231,0.0634,-0.0542,-0.0424,0.3307,-0.0048,0.0436,0.0188,-0.0537,0.3995,-0.0213,-0.0515,-0.2503,Truthful
0.1346,-0.0156,-0.2243,0.1312,-0.3828,0.0924,0.4390,-0.3536,0.2989,-0.5156,-0.0003,-0.2612,0.0420,0.0072,-0.2037,-0.1708,0.1788,0.0997,-0.0566,0.2687,0.1426,-0.1524,-0.3382,0.1118,-0.2419,-0.1443,-0.1228,0.3255,0.4220,0.0617,-0.0178,-0.0544,-0.1653,0.2134,0.0563,0.1137,-0.0591,0.2725,-0.1470,-0.4199,0.2639,0.1641,0.4480,-0.0963,-0.2490,-0.1880,0.0525,0.2796,0.1573,0.1765,Truthful
-0.1623,-0.0462,0.0671,0.0609,0.1297,0.0181,0.1163,-0.1995,-0.1776,-0.2637,0.0214,0.2648,0.0585,-0.2096,-0.2872,0.2714,0.0949,-0.0592,0.1013,0.2875,0.3589,-0.1341,0.3619,0.2276,-0.0935,-0.1329,-0.1975,-0.5104,0.1883,0.1107,-0.1608,-0.0052,0.2464,-0.0385,0.1064,-0.0990,-0.1068,-0.1720,0.0829,0.0069,-0.0658,0.3483,-0.0601,0.0946,0.0812,-0.0220,0.4256,-0.0674,-0.0549,-0.3077,Truthful
-0.2445,-0.0322,0.0953,0.1234,0.2789,-0.0116,-0.0539,-0.1434,-0.3530,-0.1958,0.0416,0.4560,0.0668,-0.2415,-0.2607,0.3954,0.0237,-0.1009,0.1184,0.2852,0.3998,-0.0704,0.5300,0.2762,-0.0572,-0.1531,-0.1912,-0.5743,0.0886,0.1718,-0.2420,0.0207,0.3327,-0.0987,0.2612,-0.1691,-0.1263,-0.2030,0.1593,0.1086,-0.1042,0.3724,-0.1489,0.1884,0.2463,0.0979,0.4629,-0.1459,-0.1148,-0.3909,Truthful
-0.2258,-0.0402,0.0947,0.0989,0.2305,0.0105,0.0095,-0.1675,-0.3008,-0.2191,0.0385,0.3899,0.0713,-0.2404,-0.2876,0.3522,0.0478,-0.0893,0.1184,0.2848,0.3829,-0.0772,0.4874,0.2678,-0.0694,-0.1303,-0.1965,-0.5672,0.1216,0.1428,-0.2031,0.0109,0.3047,-0.0865,0.1564,-0.1478,-0.1099,-0.2016,0.1269,0.0737,-0.0922,0.3657,-0.1214,0.1560,0.1753,0.0444,0.4496,-0.1135,-0.0849,-0.3571,Truthful
-0.1951,-0.0288,0.0464,0.1854,0.1422,-0.0076,-0.0200,-0.1857,-0.2571,-0.2341,0.0274,0.3835,0.0605,-0.1988,-0.2238,0.3195,0.0511,-0.0740,0.1141,0.2957,0.3844,-0.1129,0.4491,0.2489,-0.0661,-0.1915,-0.1714,-0.5323,0.1186,0.1759,-0.2392,-0.0122,0.2906,-0.0597,0.3252,-0.1326,-0.1358,-0.1654,0.1218,0.0349,-0.0641,0.3636,-0.0898,0.1481,0.2010,0.0660,0.4397,-0.1249,-0.0901,-0.3329,Truthful
-0.1003,-0.0426,-0.0155,0.0894,-0.0395,0.0179,0.2335,-0.2526,0.0148,-0.3565,0.0207,0.0437,0.0561,-0.1358,-0.2878,0.1031,0.1251,0.0085,0.0740,0.2942,0.2991,-0.1292,0.1353,0.1993,-0.1298,-0.1418,-0.1737,-0.2118,0.2509,0.0931,-0.1294,-0.0228,0.1415,0.0084,0.0976,-0.0387,-0.0860,-0.0248,0.0091,-0.1493,0.0277,0.3066,0.0987,0.0248,-0.0240,-0.0771,0.3493,0.0267,0.0093,-0.1608,Truthful
-0.0137,-0.0326,-0.0470,0.1624,-0.0910,0.0190,0.1773,-0.2526,-0.0077,-0.3534,0.0166,0.0579,0.0508,-0.1441,-0.2475,0.1066,0.1149,-0.0240,0.0752,0.3057,0.3081,-0.1734,0.1536,0.1924,-0.1214,-0.1895,-0.1656,-0.2256,0.2447,0.1055,-0.1621,-0.0324,0.1260,0.0603,0.1718,-0.0370,-0.1398,-0.0488,0.0146,-0.1762,0.0485,0.3171,0.0905,0.0421,0.0356,-0.0513,0.3553,0.0303,-0.0099,-0.1716,Truthful
0.0844,-0.0068,-0.1974,0.1379,-0.3401,0.0707,0.3778,-0.3337,0.2708,-0.5029,0.0009,-0.2389,0.0496,-0.0074,-0.2200,-0.1364,0.1704,0.0970,-0.0206,0.2884,0.1766,-0.1477,-0.2760,0.1317,-0.2287,-0.1573,-0.1211,0.2977,0.3843,0.0711,-0.0415,-0.0397,-0.1196,0.1692,0.0679,0.0911,-0.0625,0.2332,-0.1129,-0.3839,0.2412,0.1978,0.3981,-0.0756,-0.1993,-0.1772,0.1156,0.2427,0.1407,0.1282,Truthful
