@relation head_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute HU_10 numeric
@attribute HU_11 numeric
@attribute HU_12 numeric
@attribute HU_13 numeric
@attribute HU_14 numeric
@attribute HU_15 numeric
@attribute HU_16 numeric
@attribute HU_17 numeric
@attribute HU_18 numeric
@attribute HU_19 numeric
@attribute HU_20 numeric
@attribute Class {Deceptive,Truthful}

@data
-0.7604,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7471,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.9722,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7616,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.0000,-0.0000,0.0001,0.0000,-0.0000,0.0000,0.7825,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7611,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.0020,-0.0000,0.0000,0.0000,-0.0000,0.0000,1.0000,-0.0000,-0.0077,-0.0000,0.0000,0.0000,Deceptive
-0.7494,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.1776,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.9279,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7589,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7673,0.7621,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7563,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7576,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.8317,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.6121,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7396,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7499,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.9452,0.8576,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7611,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.9998,0.7617,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,Deceptive
-0.1851,-0.0000,1.0000,-0.7615,-0.0000,-0.0000,-0.0000,0.7616,0.8642,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,Deceptive
-0.7606,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.3441,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7614,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7636,0.2685,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0617,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7606,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7638,0.1130,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0305,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7412,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7520,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.9725,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7578,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7981,0.7664,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7528,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7615,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0844,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.2223,-0.0000,1.0000,-0.7591,-0.0000,-0.0000,-0.0000,0.7616,0.8227,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0144,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,Truthful
-0.7254,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7635,0.8109,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0004,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7611,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.9999,0.7617,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.6145,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7637,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7580,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7616,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7599,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7429,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0024,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7614,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.0042,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7528,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7615,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7880,0.7584,-0.0000,0.0000,0.0000,-0.0000,0.0000,1.0000,-0.0000,-0.9827,-0.0000,0.0000,0.0000,Truthful
-0.7569,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.1327,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.9993,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7585,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7618,0.7616,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7381,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7616,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7562,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7620,0.7618,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7580,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7677,0.7623,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,Truthful
-0.7607,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.8130,0.7616,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7614,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.0005,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0015,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
-0.7513,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7627,0.7624,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Truthful
